"Location","Name","Limit","Current","Available"
"westus3","OpenAI.ProvisionedManaged","0","0","0"
"westus3","OpenAI.GlobalProvisionedManaged","0","0","0"
"westus3","OpenAI.FineTuned.Deployments","10","0","10"
"westus3","OpenAI.S0.AccountCount","30","1","29"
"westus3","OpenAI.Standard.tts","3","0","3"
"westus3","OpenAI.Standard.tts-hd","3","0","3"
"westus3","OpenAI.DataZoneProvisionedManaged","0","0","0"
"westus3","OpenAI.Standard.gpt-35-turbo","300","0","300"
"westus3","OpenAI.GlobalBatch.gpt-35-turbo","1000000","0","1000000"
"westus3","OpenAI.Standard.gpt-4-turbo","80","0","80"
"westus3","OpenAI.GlobalStandard.gpt-4-turbo-2024-0409","450","0","450"
"westus3","OpenAI.GlobalStandard.gpt-4o-finetune","250","0","250"
"westus3","OpenAI.GlobalStandard.gpt-4o-mini-finetune","500","0","500"
"westus3","OpenAI.GlobalBatch.gpt-4","30000","0","30000"
"westus3","OpenAI.GlobalBatch.gpt-4-turbo","80000","0","80000"
"westus3","OpenAI.GlobalBatch.gpt-4o","200000","0","200000"
"westus3","OpenAI.GlobalBatch.gpt-4o-mini","1000000","0","1000000"
"westus3","OpenAI.Provisioned.gpt-4o-audio-preview","0","0","0"
"westus3","OpenAI.Standard.gpt-4o","150","0","150"
"westus3","OpenAI.Standard.gpt-4o-mini","450","0","450"
"westus3","OpenAI.GlobalStandard.gpt-4o","450","0","450"
"westus3","OpenAI.GlobalStandard.gpt-4o-mini","2000","250","1750"
"westus3","OpenAI.DataZoneStandard.gpt-4o","300","0","300"
"westus3","OpenAI.DataZoneStandard.gpt-4o-mini","1000","0","1000"
"westus3","OpenAI.DataZoneBatch.gpt-4o","30000","0","30000"
"westus3","OpenAI.DataZoneBatch.gpt-4o-mini","100000","0","100000"
"westus3","OpenAI.Standard.text-embedding-ada-002","350","0","350"
"westus3","OpenAI.GlobalStandard.text-embedding-ada-002","1000","0","1000"
"westus3","OpenAI.Standard.text-embedding-3-large","350","0","350"
"westus3","OpenAI.GlobalStandard.text-embedding-3-small","1000","0","1000"
"westus3","OpenAI.GlobalStandard.text-embedding-3-large","1000","0","1000"
"westus3","OpenAI.Standard.o1","50","0","50"
"westus3","OpenAI.GlobalStandard.o1","500","0","500"
"westus3","OpenAI.GlobalStandard.o1-mini","500","0","500"
"westus3","OpenAI.DataZoneStandard.o1","100","0","100"
"westus3","OpenAI.GlobalStandard.o3-mini","500","0","500"
"westus3","OpenAI.GlobalStandard.o3","1000","0","1000"
"westus3","OpenAI.GlobalBatch.o3","100000","0","100000"
